PNR,PNR_CREATE_DT,NUM_IN_PARTY,CHANNEL,ORIGIN,DEST,OD,NUM_SEGMENTS,PNR_DEPARTURE_DATE,PNR_RETURN_DATE,BUSINESS_PROBABILITY,BLEISURE_PROBABILITY,VFR_PROBABILITY,VACATION_PROBABILITY,PERSONAL_PROBABILITY,REVENUE,ADVANCED_PURCHASE,ROUNDTRIP,NONSTOP,REVENUE_PER_PERSON,TRAVEL_TYPE,departure_month,departure_month_name,LENGTH_OF_STAY,WEEKEND_DEPARTURE,WEEKEND_ARRIVAL,TRAVEL_DISTANCE,Distance_Bin,Holiday_Departure,Holiday_Return,Cumulative_Booking_Count,BOOKING_WINDOW
B710766,2022-09-05,2,OTA,BOS,PIT,BOS-PIT,1,2022-09-09,,0.0383,0.0263,0.681,0.1773,0.0771,92.09,4,False,True,46.045,VFR,9,September,,True,,496.0,0-500,,,5,1-7 days
B701930,2022-09-12,1,LEISURE,DEN,PHX,DEN-PHX,1,2022-10-08,,0.0584,0.0436,0.5338,0.2831,0.081,68.84,26,False,True,68.84,VFR,10,October,,True,,602.0,500-1000,,,64,21+ days
C311808,2022-02-07,1,DIRECT,DFW,GEG,DFW-GEG,1,2022-07-12,,0.0151,0.0703,0.3108,0.5614,0.0424,329.3,155,False,True,329.3,VACATION,7,July,,False,,1477.0,1000-1500,,,4,21+ days
B139869,2022-12-24,1,DIRECT,DFW,TUS,DFW-TUS,1,2022-12-24,,0.05,0.0322,0.6294,0.1493,0.139,374.88,0,False,True,374.88,VFR,12,December,,True,,813.0,500-1000,Christmas Day (observed),,119,
E412417,2022-08-09,2,DIRECT,MSY,PWM,MSY-PWM,1,2022-09-01,,0.0497,0.0499,0.6662,0.1992,0.035,400.93,23,False,True,200.465,VFR,9,September,,False,,1446.0,1000-1500,,,6,21+ days
A637349,2022-02-23,1,BUSINESS,CMH,PHL,CMH-PHL,1,2022-07-30,,0.1666,0.1057,0.3107,0.1391,0.278,129.0,157,False,True,129.0,VFR,7,July,,True,,406.0,0-500,,,1,21+ days
A97868,2022-07-20,2,DIRECT,ELP,PHX,ELP-PHX,1,2022-08-25,,0.0198,0.0356,0.5043,0.3894,0.0509,137.68,36,False,True,68.84,VFR,8,August,,False,,347.0,0-500,,,10,21+ days
C302784,2022-02-05,2,DIRECT,RSW,CLT,RSW-CLT,1,2022-07-01,,0.0102,0.0479,0.6753,0.1527,0.1139,407.44,146,False,True,203.72,VFR,7,July,,True,,600.0,500-1000,,,5,21+ days
C538442,2022-10-15,2,DIRECT,MCO,DAY,MCO-DAY,1,2022-11-01,,0.0257,0.0498,0.6487,0.1387,0.1371,180.47,17,False,True,90.235,VFR,11,November,,False,,808.0,500-1000,,,0,15-21 days
D210013,2022-06-09,1,DIRECT,PHL,MCO,PHL-MCO,2,2022-07-13,2022-07-18,0.0408,0.0488,0.7051,0.1281,0.0773,202.79,34,True,False,202.79,VFR,7,July,5 days,False,0.0,861.0,500-1000,,,142,21+ days
D73832,2022-12-22,4,DIRECT,MIA,DEN,MIA-DEN,1,2022-12-22,,0.009,0.029,0.1791,0.728,0.0549,1551.64,0,False,True,387.91,VACATION,12,December,,False,,1709.0,1500-2000,,,92,
E67309,2022-08-06,2,OTA,CAE,PSP,CAE-PSP,1,2022-12-02,,0.05,0.0599,0.369,0.4461,0.0749,227.91,118,False,True,113.955,VACATION,12,December,,True,,2024.0,2000-3000,,,0,21+ days
D118532,2022-06-23,4,OTA,LAS,BUF,LAS-BUF,1,2022-07-06,,0.015,0.0412,0.1733,0.6895,0.0811,455.82,13,False,True,113.955,VACATION,7,July,,False,,1986.0,1500-2000,,,13,8-14 days
E202976,2022-12-14,1,OTA,DCA,MYR,DCA-MYR,2,2022-12-14,2022-12-17,0.0289,0.0253,0.6455,0.1143,0.186,202.79,0,True,False,202.79,VFR,12,December,3 days,False,1.0,372.0,0-500,,,7,
A507488,2022-07-09,5,DIRECT,PHL,BOS,PHL-BOS,1,2022-08-04,,0.0159,0.0264,0.501,0.1921,0.2646,395.35,26,False,True,79.07000000000001,VFR,8,August,,False,,280.0,0-500,,,82,21+ days
D537765,2022-01-19,3,LEISURE,PHL,MCO,PHL-MCO,1,2022-08-14,,0.0014,0.0068,0.0207,0.9611,0.0101,524.67,207,False,True,174.89,VACATION,8,August,,True,,861.0,500-1000,,,4,21+ days
B345783,2022-06-24,1,OTA,DFW,SFO,DFW-SFO,1,2022-07-25,,0.1049,0.095,0.5379,0.1678,0.0944,282.79,31,False,True,282.79,VFR,7,July,,False,,1464.0,1000-1500,,,60,21+ days
C778317,2022-09-14,1,DIRECT,AUS,BNA,AUS-BNA,1,2022-11-26,,0.033,0.0423,0.6363,0.2427,0.0458,162.79,73,False,True,162.79,VFR,11,November,,True,,,,Thanksgiving,,3,21+ days
C72161,2022-10-18,2,OTA,MSY,CLT,MSY-CLT,1,2022-11-06,,0.0826,0.0784,0.5049,0.2805,0.0537,519.07,19,False,True,259.535,VFR,11,November,,True,,651.0,500-1000,,,13,15-21 days
B168726,2022-10-20,2,OTA,SDF,SYR,SDF-SYR,1,2022-10-24,,0.1179,0.0857,0.6178,0.0634,0.1152,118.14,4,False,True,59.07,VFR,10,October,,False,,609.0,500-1000,,,1,1-7 days
C43188,2022-12-26,1,DIRECT,CLT,MSY,CLT-MSY,1,2022-12-29,,0.1578,0.206,0.3989,0.1184,0.1189,387.91,3,False,True,387.91,VFR,12,December,,False,,651.0,500-1000,,,77,1-7 days
B677740,2022-06-11,6,OTA,ABQ,CAE,ABQ-CAE,1,2022-08-09,,0.0571,0.0629,0.4778,0.2866,0.1156,792.57,59,False,True,132.095,VFR,8,August,,False,,1453.0,1000-1500,,,0,21+ days
B187880,2022-11-30,1,DIRECT,PHX,DEN,PHX-DEN,1,2022-12-31,,0.0646,0.056,0.6652,0.1691,0.0452,127.44,31,False,True,127.44,VFR,12,December,,True,,602.0,500-1000,New Year's Day (observed),,30,21+ days
C548520,2022-08-19,3,OTA,SJT,BOS,SJT-BOS,1,2022-09-01,,0.0148,0.0311,0.7485,0.1366,0.069,437.21,13,False,True,145.73666666666665,VFR,9,September,,False,,1790.0,1500-2000,,,0,8-14 days
A536576,2022-07-10,2,OTA,ELP,PHX,ELP-PHX,1,2022-07-19,,0.0835,0.0591,0.2877,0.4831,0.0867,301.4,9,False,True,150.7,VACATION,7,July,,False,,347.0,0-500,,,2,8-14 days
A188569,2022-07-05,1,OTA,RDU,DCA,RDU-DCA,2,2022-07-07,2022-07-07,0.1253,0.0341,0.3212,0.0445,0.4748,186.98,2,True,False,186.98,PERSONAL,7,July,0 days,False,0.0,227.0,0-500,,,16,1-7 days
C354496,2022-04-03,4,DIRECT,FNT,MIA,FNT-MIA,1,2022-11-03,,0.0013,0.0066,0.0333,0.9491,0.0097,251.2,214,False,True,62.8,VACATION,11,November,,False,,1200.0,1000-1500,,,0,21+ days
A203608,2022-08-26,1,DIRECT,XNA,DFW,XNA-DFW,1,2022-09-02,,0.0421,0.0323,0.7781,0.1042,0.0433,293.02,7,False,True,293.02,VFR,9,September,,True,,280.0,0-500,,,30,1-7 days
C481311,2022-06-21,2,DIRECT,ALB,SAV,ALB-SAV,1,2022-07-27,,0.0187,0.0294,0.6761,0.1689,0.107,213.95,36,False,True,106.975,VFR,7,July,,False,,837.0,500-1000,,,4,21+ days
D187315,2022-11-03,1,TMC,PHL,FLL,PHL-FLL,1,2022-11-05,,0.1717,0.1462,0.2948,0.2635,0.1238,195.87,2,False,True,195.87,VFR,11,November,,True,,992.0,500-1000,,,179,1-7 days
B673164,2022-10-23,1,DIRECT,DFW,TUS,DFW-TUS,1,2022-11-28,,0.0148,0.0392,0.8147,0.1031,0.0283,200.93,36,False,True,200.93,VFR,11,November,,False,,813.0,500-1000,,,16,21+ days
B651561,2022-07-01,1,DIRECT,JFK,SFO,JFK-SFO,1,2022-07-04,,0.061,0.1413,0.5005,0.1425,0.1548,226.98,3,False,True,226.98,VFR,7,July,,False,,2586.0,2000-3000,Independence Day,,40,1-7 days
D171642,2022-02-27,4,DIRECT,DEN,MIA,DEN-MIA,1,2022-12-23,,0.0005,0.0029,0.0143,0.9779,0.0043,1097.68,299,False,True,274.42,VACATION,12,December,,True,,1709.0,1500-2000,Christmas Day,,1,21+ days
A681777,2022-07-01,4,DIRECT,PHL,MCI,PHL-MCI,1,2022-07-09,,0.0924,0.0731,0.5639,0.0841,0.1865,504.18,8,False,True,126.045,VFR,7,July,,True,,1038.0,1000-1500,,,14,8-14 days
D552996,2022-10-26,2,DIRECT,PHX,MIA,PHX-MIA,1,2022-12-15,,0.1985,0.1361,0.3483,0.216,0.1011,342.33,50,False,True,171.165,VFR,12,December,,False,,1972.0,1500-2000,,,57,21+ days
A594194,2022-08-20,1,DIRECT,PHL,BOS,PHL-BOS,2,2022-09-16,2022-09-19,0.0491,0.0543,0.8195,0.0497,0.0275,79.07,27,True,False,79.07,VFR,9,September,3 days,True,0.0,280.0,0-500,,,141,21+ days
E107808,2022-10-18,2,DIRECT,CHS,ORD,CHS-ORD,1,2022-11-26,,0.0164,0.1026,0.5832,0.2213,0.0766,196.28,39,False,True,98.14,VFR,11,November,,True,,760.0,500-1000,Thanksgiving,,4,21+ days
